category,subcategories
In-Flight Experience,Entertainment
In-Flight Experience,Food and Beverages
In-Flight Experience,Seat Comfort
In-Flight Experience,Cabin Environment
In-Flight Experience,Wi-Fi
Customer Service,Agent Rudeness/Helpfulness
Customer Service,Customer service (General)
Customer Service,Waiting Times
Customer Service,Communication
Customer Service,Problem Resolution
Flight Status,Delays
Flight Status,Cancellations
Flight Status,Grounding Issues
Flight Status,Unexplained Delays
Operations,Overbooking
Operations,Mechanical Issues
Operations,Staffing Issues
Operations,Baggage Handling
Operations,Gate Management
Operations,Inflight - safety concerns
Booking and Ticketing,Booking Process
Booking and Ticketing,Seating Assignments
Booking and Ticketing,Fare Pricing
Booking and Ticketing,Change Fees
Loyalty Program,Status
Loyalty Program,Miles
Loyalty Program,Reward Redemption
Personnel,Pilot
Personnel,Flight Attendants
Personnel,Ground Staff
Personnel,Crew
Policies,Pet Policy
Policies,Luggage
Policies,Service Animals
Route and Destinations,New routes
Route and Destinations,Route changes
Route and Destinations,Destination
Customer Feedback,General positive feedback
Customer Feedback,General negative feedback
Customer Feedback,Praise
Website and App,Mobile app
Website and App,Website issues
